Pays,Rank_Année,Rank_Volaille_Import,Rank_Volaille_Dispo_int,Rank_Volaille_Dispo_kg,Rank_IED_agriculture,Rank_Indice_betail,Rank_PIB_par_habitant,Rank_Stabilite_politique,Rank_Population_totale,Rank_Part_terre_bio,Rank_Cluster_CAH,Rank_Cluster_KMeans,Rank_Nb_dépassement_median,Rank_Ratio_Volaille_Import,Rank_Distance_France,Total_Score
ÉMIRATS ARABES UNIS,1.0,8.0,24.0,9.0,20.0,6.0,4.0,33.0,51.0,50.0,41.0,4.0,4.0,6.0,55.0,316.0
CANADA,1.0,14.0,15.0,13.0,20.0,20.0,16.0,9.0,18.0,45.0,1.0,4.0,2.0,65.0,89.0,332.0
IRLANDE,1.0,29.0,54.0,33.0,20.0,12.0,2.0,14.0,66.0,47.0,1.0,4.0,15.0,23.0,40.0,361.0
Danemark,1.0,21.0,45.0,27.0,20.0,76.0,9.0,24.0,61.0,12.0,1.0,4.0,15.0,22.0,45.0,383.0
Portugal,1.0,32.0,31.0,23.0,20.0,54.0,35.0,7.0,47.0,17.0,1.0,4.0,4.0,50.0,59.0,385.0
Pays Bas,1.0,5.0,27.0,48.0,20.0,69.0,7.0,20.0,33.0,30.0,41.0,4.0,4.0,3.0,73.0,385.0
Pologne,1.0,39.0,19.0,24.0,19.0,18.0,37.0,38.0,17.0,29.0,1.0,4.0,1.0,77.0,90.0,414.0
Lettonie,1.0,44.0,77.0,44.0,6.0,41.0,41.0,39.0,87.0,6.0,1.0,4.0,4.0,7.0,18.0,420.0
ESPAGNE,1.0,13.0,13.0,24.0,82.0,27.0,26.0,49.0,14.0,15.0,1.0,4.0,2.0,63.0,93.0,427.0
BELGIQUE,1.0,10.0,48.0,74.0,20.0,52.0,14.0,40.0,41.0,21.0,41.0,4.0,15.0,1.0,65.0,447.0
ITALIE,1.0,30.0,17.0,51.0,17.0,73.0,23.0,48.0,10.0,4.0,1.0,4.0,4.0,73.0,98.0,454.0
OMAN,1.0,23.0,55.0,39.0,20.0,13.0,33.0,28.0,69.0,98.0,1.0,4.0,28.0,5.0,37.0,454.0
Luxembourg,1.0,68.0,93.0,57.0,20.0,21.0,1.0,3.0,92.0,27.0,1.0,4.0,46.0,9.0,13.0,456.0
TCHÉQUIE,1.0,26.0,35.0,39.0,92.0,65.0,27.0,14.0,44.0,5.0,1.0,4.0,4.0,37.0,62.0,456.0
Lituanie,1.0,43.0,61.0,28.0,8.0,87.0,31.0,27.0,81.0,14.0,1.0,4.0,15.0,32.0,25.0,458.0
JAPON,1.0,1.0,4.0,57.0,82.0,67.0,24.0,8.0,5.0,76.0,41.0,4.0,28.0,40.0,21.0,459.0
Royaume Uni,1.0,3.0,6.0,22.0,90.0,50.0,19.0,42.0,8.0,31.0,41.0,4.0,4.0,47.0,99.0,467.0
ÉTATS-UNIS D'AMÉRIQUE,1.0,24.0,1.0,1.0,84.0,34.0,6.0,51.0,2.0,61.0,51.0,51.0,15.0,85.0,2.0,469.0
AUTRICHE,1.0,27.0,43.0,57.0,89.0,60.0,11.0,12.0,55.0,1.0,1.0,4.0,28.0,31.0,51.0,471.0
Koweït,1.0,19.0,40.0,7.0,20.0,7.0,18.0,67.0,73.0,96.0,41.0,4.0,28.0,26.0,33.0,480.0
SUISSE,1.0,40.0,52.0,64.0,20.0,86.0,3.0,4.0,56.0,10.0,1.0,4.0,46.0,43.0,50.0,480.0
CHYPRE,1.0,63.0,81.0,35.0,20.0,19.0,28.0,37.0,89.0,26.0,1.0,4.0,28.0,45.0,16.0,493.0
ALLEMAGNE,1.0,2.0,9.0,51.0,85.0,84.0,10.0,36.0,7.0,18.0,41.0,4.0,15.0,36.0,94.0,493.0
Chili,1.0,16.0,22.0,15.0,16.0,90.0,44.0,41.0,30.0,79.0,1.0,4.0,4.0,55.0,76.0,494.0
ANTIGUA-ET-BARBUDA,1.0,75.0,99.0,2.0,20.0,43.0,49.0,29.0,100.0,32.0,1.0,4.0,28.0,9.0,5.0,497.0
Suède,1.0,31.0,41.0,61.0,87.0,81.0,12.0,18.0,48.0,3.0,1.0,4.0,15.0,38.0,58.0,499.0
MALAISIE,1.0,34.0,10.0,13.0,75.0,47.0,43.0,57.0,22.0,32.0,1.0,4.0,4.0,79.0,84.0,506.0
HONGRIE,1.0,38.0,34.0,35.0,65.0,71.0,38.0,25.0,50.0,28.0,1.0,4.0,4.0,56.0,56.0,506.0
AUSTRALIE,1.0,58.0,18.0,4.0,70.0,100.0,15.0,22.0,27.0,11.0,1.0,4.0,15.0,84.0,79.0,509.0
FRANCE,1.0,7.0,11.0,38.0,79.0,80.0,21.0,49.0,9.0,22.0,41.0,4.0,4.0,48.0,100.0,514.0
ESTONIE,1.0,54.0,84.0,44.0,18.0,91.0,30.0,31.0,88.0,2.0,1.0,4.0,28.0,27.0,17.0,520.0
RÉPUBLIQUE DOMINICAINE,1.0,45.0,26.0,18.0,20.0,78.0,56.0,55.0,46.0,13.0,1.0,4.0,28.0,70.0,60.0,521.0
